Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#1[4],Subject#1[5],Subject#1[6],Subject#1[7],Subject#1[8],Subject#1[9],Subject#1[10],Subject#1[11],Subject#1[12],Subject#1[13],Subject#1[14],Subject#1[15],Subject#1[16],Subject#1[17],Subject#1[18],Subject#1[19],Subject#2[1],Subject#2[2],Subject#2[3],Subject#2[4],Subject#2[5],Subject#2[6],Subject#2[7],Subject#2[8],Subject#2[9],Subject#2[10],Subject#2[11],Subject#2[12],Subject#2[13],Subject#2[14],Subject#2[15],Subject#2[16],Subject#2[17],Subject#2[18],Subject#2[19],Subject#3[1],Subject#3[2],Subject#3[3],Subject#3[4],Subject#3[5],Subject#3[6],Subject#3[7],Subject#3[8],Subject#3[9],Subject#3[10],Subject#3[11],Subject#3[12],Subject#3[13],Subject#3[14],Subject#3[15],Subject#3[16],Subject#3[17],Subject#3[18],Subject#3[19],Subject#4[1],Subject#4[2],Subject#4[3],Subject#4[4],Subject#4[5],Subject#4[6],Subject#4[7],Subject#4[8],Subject#4[9],Subject#4[10],Subject#4[11],Subject#4[12],Subject#4[13],Subject#4[14],Subject#4[15],Subject#4[16],Subject#4[17],Subject#4[18],Subject#4[19],Subject#5[1],Subject#5[2],Subject#5[3],Subject#5[4],Subject#5[5],Subject#5[6],Subject#5[7],Subject#5[8],Subject#5[9],Subject#5[10],Subject#5[11],Subject#5[12],Subject#5[13],Subject#5[14],Subject#5[15],Subject#5[16],Subject#5[17],Subject#5[18],Subject#5[19],Subject#6[1],Subject#6[2],Subject#6[3],Subject#6[4],Subject#6[5],Subject#6[6],Subject#6[7],Subject#6[8],Subject#6[9],Subject#6[10],Subject#6[11],Subject#6[12],Subject#6[13],Subject#6[14],Subject#6[15],Subject#6[16],Subject#6[17],Subject#6[18],Subject#6[19],Subject#7[1],Subject#7[2],Subject#7[3],Subject#7[4],Subject#7[5],Subject#7[6],Subject#7[7],Subject#7[8],Subject#7[9],Subject#7[10],Subject#7[11],Subject#7[12],Subject#7[13],Subject#7[14],Subject#7[15],Subject#7[16],Subject#7[17],Subject#7[18],Subject#7[19],Subject#8[1],Subject#8[2],Subject#8[3],Subject#8[4],Subject#8[5],Subject#8[6],Subject#8[7],Subject#8[8],Subject#8[9],Subject#8[10],Subject#8[11],Subject#8[12],Subject#8[13],Subject#8[14],Subject#8[15],Subject#8[16],Subject#8[17],Subject#8[18],Subject#8[19],Subject#9[1],Subject#9[2],Subject#9[3],Subject#9[4],Subject#9[5],Subject#9[6],Subject#9[7],Subject#9[8],Subject#9[9],Subject#9[10],Subject#9[11],Subject#9[12],Subject#9[13],Subject#9[14],Subject#9[15],Subject#9[16],Subject#9[17],Subject#9[18],Subject#9[19],Subject#10[1],Subject#10[2],Subject#10[3],Subject#10[4],Subject#10[5],Subject#10[6],Subject#10[7],Subject#10[8],Subject#10[9],Subject#10[10],Subject#10[11],Subject#10[12],Subject#10[13],Subject#10[14],Subject#10[15],Subject#10[16],Subject#10[17],Subject#10[18],Subject#10[19],Subject#11[1],Subject#11[2],Subject#11[3],Subject#11[4],Subject#11[5],Subject#11[6],Subject#11[7],Subject#11[8],Subject#11[9],Subject#11[10],Subject#11[11],Subject#11[12],Subject#11[13],Subject#11[14],Subject#11[15],Subject#11[16],Subject#11[17],Subject#11[18],Subject#11[19],Subject#12[1],Subject#12[2],Subject#12[3],Subject#12[4],Subject#12[5],Subject#12[6],Subject#12[7],Subject#12[8],Subject#12[9],Subject#12[10],Subject#12[11],Subject#12[12],Subject#12[13],Subject#12[14],Subject#12[15],Subject#12[16],Subject#12[17],Subject#12[18],Subject#12[19]
2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quality control (localizer mask sizes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20150720a_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20150820a_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20150823_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20151118a_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20151119a_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20151120b_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/207_FED_20160105b_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/338_FED_20160105d_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/301_FED_20160119a_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/214_FED_20160119b_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/348_FED_20160119c_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/343_FED_20160121d_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
