Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#1[4],Subject#1[5],Subject#1[6],Subject#1[7],Subject#1[8],Subject#1[9],Subject#1[10],Subject#1[11],Subject#1[12],Subject#1[13],Subject#1[14],Subject#1[15],Subject#1[16],Subject#1[17],Subject#1[18],Subject#1[19],Subject#2[1],Subject#2[2],Subject#2[3],Subject#2[4],Subject#2[5],Subject#2[6],Subject#2[7],Subject#2[8],Subject#2[9],Subject#2[10],Subject#2[11],Subject#2[12],Subject#2[13],Subject#2[14],Subject#2[15],Subject#2[16],Subject#2[17],Subject#2[18],Subject#2[19],Subject#3[1],Subject#3[2],Subject#3[3],Subject#3[4],Subject#3[5],Subject#3[6],Subject#3[7],Subject#3[8],Subject#3[9],Subject#3[10],Subject#3[11],Subject#3[12],Subject#3[13],Subject#3[14],Subject#3[15],Subject#3[16],Subject#3[17],Subject#3[18],Subject#3[19],Subject#4[1],Subject#4[2],Subject#4[3],Subject#4[4],Subject#4[5],Subject#4[6],Subject#4[7],Subject#4[8],Subject#4[9],Subject#4[10],Subject#4[11],Subject#4[12],Subject#4[13],Subject#4[14],Subject#4[15],Subject#4[16],Subject#4[17],Subject#4[18],Subject#4[19],Subject#5[1],Subject#5[2],Subject#5[3],Subject#5[4],Subject#5[5],Subject#5[6],Subject#5[7],Subject#5[8],Subject#5[9],Subject#5[10],Subject#5[11],Subject#5[12],Subject#5[13],Subject#5[14],Subject#5[15],Subject#5[16],Subject#5[17],Subject#5[18],Subject#5[19],Subject#6[1],Subject#6[2],Subject#6[3],Subject#6[4],Subject#6[5],Subject#6[6],Subject#6[7],Subject#6[8],Subject#6[9],Subject#6[10],Subject#6[11],Subject#6[12],Subject#6[13],Subject#6[14],Subject#6[15],Subject#6[16],Subject#6[17],Subject#6[18],Subject#6[19],Subject#7[1],Subject#7[2],Subject#7[3],Subject#7[4],Subject#7[5],Subject#7[6],Subject#7[7],Subject#7[8],Subject#7[9],Subject#7[10],Subject#7[11],Subject#7[12],Subject#7[13],Subject#7[14],Subject#7[15],Subject#7[16],Subject#7[17],Subject#7[18],Subject#7[19],Subject#8[1],Subject#8[2],Subject#8[3],Subject#8[4],Subject#8[5],Subject#8[6],Subject#8[7],Subject#8[8],Subject#8[9],Subject#8[10],Subject#8[11],Subject#8[12],Subject#8[13],Subject#8[14],Subject#8[15],Subject#8[16],Subject#8[17],Subject#8[18],Subject#8[19],Subject#9[1],Subject#9[2],Subject#9[3],Subject#9[4],Subject#9[5],Subject#9[6],Subject#9[7],Subject#9[8],Subject#9[9],Subject#9[10],Subject#9[11],Subject#9[12],Subject#9[13],Subject#9[14],Subject#9[15],Subject#9[16],Subject#9[17],Subject#9[18],Subject#9[19],Subject#10[1],Subject#10[2],Subject#10[3],Subject#10[4],Subject#10[5],Subject#10[6],Subject#10[7],Subject#10[8],Subject#10[9],Subject#10[10],Subject#10[11],Subject#10[12],Subject#10[13],Subject#10[14],Subject#10[15],Subject#10[16],Subject#10[17],Subject#10[18],Subject#10[19]
1,628,62,1.000000,0.237112,1.083334,0.702061,0.682693,0.241711,0.036326,0.205385,1.047008,0.665735,0.646367,0.200786,0.553056,0.004599,-0.841623,-0.460350,-0.440982,0.846222,0.464949,0.445581,0.726817,0.638511,0.108549,0.462354,0.721115,0.561162,0.159953,0.077349,-0.452613,-0.098808,0.165655,-0.029693,-0.005702,0.082604,0.612566,0.258761,-0.088306,-0.618268,-0.264463,0.477097,0.211537,0.568922,0.108105,0.415699,0.443127,-0.027428,-0.231591,0.125795,-0.335022,0.033970,-0.086855,-0.061398,0.204163,-0.153222,0.307594,-0.265560,0.091825,-0.368992,0.405202,0.386059,0.490732,0.460213,0.245542,0.074119,0.171423,0.311940,0.416613,0.386094,0.331083,0.323430,-0.159660,-0.140517,-0.245190,-0.214671,-0.019143,0.085530,0.055011,-0.363087,-0.159126,0.068173,0.153959,-0.022558,0.174440,-0.196999,-0.333566,-0.106267,-0.020481,-0.537528,-0.238968,0.340529,0.136567,-0.090731,-0.176518,0.203962,0.431260,0.517047,0.984994,1.166130,0.774874,0.650289,1.310042,0.804780,0.505263,0.361350,-0.029906,-0.154491,0.180215,0.172486,0.325048,0.143912,0.535169,0.659754,0.181136,-0.210121,-0.334706,0.352785,0.051641,0.482938,0.652409,0.371754,0.126695,0.245059,-0.075053,0.356243,0.525714,0.226090,0.255611,0.018968,0.320112,-0.111184,-0.280655,-0.301144,0.130153,0.299624,0.595400,0.391307,0.124623,0.270697,0.121310,0.238455,-0.117144,0.152852,-0.113832,0.032243,0.356946,0.062213,-0.474090,-0.269996,-0.003313,-0.149387,-0.204094,-0.470778,-0.324703,0.337779,0.930193,0.692341,1.012551,0.500710,0.090702,0.410008,0.839492,0.601639,0.921849,0.247077,0.604013,0.162931,-0.429483,-0.191631,-0.511841,0.592414,0.354562,0.674772,-0.267165,-0.003116,-0.021345,-0.081918,-0.394519,-0.675571,0.281052,0.672455,0.654226,0.593653,0.408405,0.521958,-0.127354,-0.391404,-0.373175,-0.312601,0.264050,0.245821,0.185247

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1
1,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20150820a_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,62
2,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20151118a_3T1/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,62
3,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20151119a_3T1/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,62
4,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/207_FED_20160105b_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,62
5,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/338_FED_20160105d_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,62
6,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/301_FED_20160119a_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,62
7,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/214_FED_20160119b_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,62
8,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/348_FED_20160119c_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,62
9,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/349_FED_20160119d_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,62
10,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/343_FED_20160121d_3T2/firstlevel_Bioloc/locT_0003_percentile-ROI-level0.1.img,62
