Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#1[4],Subject#1[5],Subject#1[6],Subject#1[7],Subject#1[8],Subject#1[9],Subject#1[10],Subject#1[11],Subject#1[12],Subject#1[13],Subject#1[14],Subject#1[15],Subject#1[16],Subject#1[17],Subject#1[18],Subject#1[19],Subject#2[1],Subject#2[2],Subject#2[3],Subject#2[4],Subject#2[5],Subject#2[6],Subject#2[7],Subject#2[8],Subject#2[9],Subject#2[10],Subject#2[11],Subject#2[12],Subject#2[13],Subject#2[14],Subject#2[15],Subject#2[16],Subject#2[17],Subject#2[18],Subject#2[19],Subject#3[1],Subject#3[2],Subject#3[3],Subject#3[4],Subject#3[5],Subject#3[6],Subject#3[7],Subject#3[8],Subject#3[9],Subject#3[10],Subject#3[11],Subject#3[12],Subject#3[13],Subject#3[14],Subject#3[15],Subject#3[16],Subject#3[17],Subject#3[18],Subject#3[19],Subject#4[1],Subject#4[2],Subject#4[3],Subject#4[4],Subject#4[5],Subject#4[6],Subject#4[7],Subject#4[8],Subject#4[9],Subject#4[10],Subject#4[11],Subject#4[12],Subject#4[13],Subject#4[14],Subject#4[15],Subject#4[16],Subject#4[17],Subject#4[18],Subject#4[19],Subject#5[1],Subject#5[2],Subject#5[3],Subject#5[4],Subject#5[5],Subject#5[6],Subject#5[7],Subject#5[8],Subject#5[9],Subject#5[10],Subject#5[11],Subject#5[12],Subject#5[13],Subject#5[14],Subject#5[15],Subject#5[16],Subject#5[17],Subject#5[18],Subject#5[19],Subject#6[1],Subject#6[2],Subject#6[3],Subject#6[4],Subject#6[5],Subject#6[6],Subject#6[7],Subject#6[8],Subject#6[9],Subject#6[10],Subject#6[11],Subject#6[12],Subject#6[13],Subject#6[14],Subject#6[15],Subject#6[16],Subject#6[17],Subject#6[18],Subject#6[19],Subject#7[1],Subject#7[2],Subject#7[3],Subject#7[4],Subject#7[5],Subject#7[6],Subject#7[7],Subject#7[8],Subject#7[9],Subject#7[10],Subject#7[11],Subject#7[12],Subject#7[13],Subject#7[14],Subject#7[15],Subject#7[16],Subject#7[17],Subject#7[18],Subject#7[19],Subject#8[1],Subject#8[2],Subject#8[3],Subject#8[4],Subject#8[5],Subject#8[6],Subject#8[7],Subject#8[8],Subject#8[9],Subject#8[10],Subject#8[11],Subject#8[12],Subject#8[13],Subject#8[14],Subject#8[15],Subject#8[16],Subject#8[17],Subject#8[18],Subject#8[19],Subject#9[1],Subject#9[2],Subject#9[3],Subject#9[4],Subject#9[5],Subject#9[6],Subject#9[7],Subject#9[8],Subject#9[9],Subject#9[10],Subject#9[11],Subject#9[12],Subject#9[13],Subject#9[14],Subject#9[15],Subject#9[16],Subject#9[17],Subject#9[18],Subject#9[19],Subject#10[1],Subject#10[2],Subject#10[3],Subject#10[4],Subject#10[5],Subject#10[6],Subject#10[7],Subject#10[8],Subject#10[9],Subject#10[10],Subject#10[11],Subject#10[12],Subject#10[13],Subject#10[14],Subject#10[15],Subject#10[16],Subject#10[17],Subject#10[18],Subject#10[19]
1,631,63,1.000000,1.149090,1.299320,1.543320,1.522933,1.343069,0.880068,0.463001,0.419252,0.663252,0.642866,0.269022,0.491478,0.193979,0.043749,-0.200251,-0.179864,0.150230,0.394230,0.373844,1.660402,1.954514,1.233133,1.252458,1.063287,0.453388,0.609900,1.501127,0.779745,0.799070,1.207014,0.979371,-0.597114,-0.891227,-0.169845,-0.189170,0.294113,-0.427269,-0.407944,1.421484,1.633738,1.230126,1.599179,1.429763,1.237388,0.192375,0.396350,-0.007262,0.361791,0.184096,0.225470,0.008279,-0.203975,0.199637,-0.169416,0.212254,-0.191357,0.177695,1.107732,0.345650,0.817386,0.335760,0.699418,1.165556,-0.466137,-0.819905,-0.348170,-0.829796,-0.057824,-0.504367,-0.408313,0.353768,-0.117967,0.363658,-0.762081,-0.290346,-0.771972,0.470600,0.639666,0.675064,0.645556,0.553067,0.605019,-0.051952,0.034648,0.070045,0.040538,-0.134419,-0.008228,0.082467,-0.086600,-0.121997,-0.092490,0.169067,0.204464,0.174957,0.507382,0.558135,0.785764,0.603347,0.501288,-0.016820,0.518109,0.574956,0.802584,0.620168,0.524203,0.608004,-0.006094,-0.056847,-0.284475,-0.102059,0.050753,0.278382,0.095965,-0.138151,0.369041,0.342345,0.509381,-0.267668,0.223608,-0.491276,0.145433,0.118737,0.285773,-0.361759,-0.060618,-0.129517,-0.636709,-0.610013,-0.777049,0.507192,0.480496,0.647532,0.771419,1.316372,1.019292,0.968995,1.553620,1.240974,0.312646,0.075398,-0.221683,-0.271979,-0.469555,-0.115034,0.782201,0.237248,0.534328,0.584625,0.544953,0.247873,0.197576,0.413063,0.372016,0.630185,0.412038,0.376756,0.142023,0.234733,0.229993,0.488163,0.270016,0.271041,0.298789,-0.036307,0.004740,-0.253430,-0.035283,-0.041047,0.217122,-0.001025,0.503226,1.190254,0.992968,0.680012,0.079340,-0.113697,0.193037,1.303950,1.106665,0.793709,0.616923,0.802857,-0.423886,-1.110914,-0.913629,-0.600673,0.687027,0.489742,0.176786

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1
1,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20150720a_3T2/firstlevel_MTLoc/locT_0003_percentile-ROI-level0.1.img,63
2,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20150820a_3T2/firstlevel_MTLoc/locT_0003_percentile-ROI-level0.1.img,63
3,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20150823_3T2/firstlevel_MTLoc/locT_0003_percentile-ROI-level0.1.img,63
4,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20151119a_3T1/firstlevel_MTLoc/locT_0003_percentile-ROI-level0.1.img,63
5,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/FED_20151120b_3T1/firstlevel_MTLoc/locT_0003_percentile-ROI-level0.1.img,63
6,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/207_FED_20160105b_3T2/firstlevel_MTLoc/locT_0003_percentile-ROI-level0.1.img,63
7,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/338_FED_20160105d_3T2/firstlevel_MTLoc/locT_0003_percentile-ROI-level0.1.img,63
8,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/301_FED_20160119a_3T2/firstlevel_MTLoc/locT_0003_percentile-ROI-level0.1.img,63
9,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/214_FED_20160119b_3T2/firstlevel_MTLoc/locT_0003_percentile-ROI-level0.1.img,63
10,1,/mindhive/evlab/u/mekline/Desktop/EventsMP/Data/343_FED_20160121d_3T2/firstlevel_MTLoc/locT_0003_percentile-ROI-level0.1.img,63
