Contrast name:,Group (S-N)
Within-subjects contrast matrix:,c[1;1],
,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,294,1.000000,0.849340,0.264754,3.208038,2.000000,0.042483,0.063725
2,1627,162,1.000000,0.640162,0.164911,3.881870,2.000000,0.030205,0.063725
3,644,64,1.000000,0.431705,0.104023,4.150085,2.000000,0.026724,0.063725
4,743,74,1.000000,0.702858,0.217668,3.229038,2.000000,0.042000,0.063725
5,462,46,1.000000,1.442235,0.582536,2.475785,2.000000,0.065839,0.065839
6,370,37,1.000000,0.849732,0.336453,2.525564,2.000000,0.063739,0.065839
